Date,Market,Grade,Min Price (Rs./ Qtl),Max Price (Rs./Qtl),Modal Price (Rs./Qtl),Festival,is_amavasya,is_ekadashi,is_purnima,Tithi,Nakshatra,Day,Month,Year,Week,Temp Max (°C),Rain (mm),Heat Stress,Rain Alert,Agro Advisory
2025-09-24,DEVALA,RED,200.0,2345,2000.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,29.4,0.8,No,No,Normal conditions
2025-09-24,PIMPALGAON,POLE,400.0,2456,1951.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,27.5,1.2,No,No,Normal conditions
2025-09-24,DEVALA,RED,200.0,2380,2000.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,29.4,0.8,No,No,Normal conditions
2025-09-24,LASALGAON,RED,600.0,2490,2151.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,28.2,1.5,No,No,Normal conditions
2025-09-24,NANDGAON,RED,100.0,2391,1850.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,29.1,0.4,No,No,Normal conditions
2025-09-24,UMRANE,RED,901.0,2546,1900.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,27.5,0.7,No,No,Normal conditions
2025-09-24,PIMPALGAON,POLE,400.0,2501,2001.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,27.5,1.2,No,No,Normal conditions
2025-09-24,YEOLA,RED,350.0,2315,1800.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,28.3,1.0,No,No,Normal conditions
2025-09-24,NAMPUR,RED,100.0,2370,1900.0,Hartalika Teej,0,0,0,Shukla Tritiya,Chitra,24,9,2025,39,28.5,1.2,No,No,Normal conditions
2025-09-25,SINNER,RED,500.0,2330,1800.0,"Hartalika Teej, Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday)",0,0,0,Shukla Tritiya,Swati,25,9,2025,39,27.7,0.3,No,No,Normal conditions
2025-09-25,DINDORI(VANI),RED,1400.0,2847,1875.0,"Hartalika Teej, Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday)",0,0,0,Shukla Tritiya,Swati,25,9,2025,39,29.1,0.1,No,No,Normal conditions
2025-09-25,PIMPALGAON BASWANT(SAYKHEDA),RED,500.0,2152,1671.0,"Hartalika Teej, Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday)",0,0,0,Shukla Tritiya,Swati,25,9,2025,39,28.5,0.9,No,No,Normal conditions
2025-09-25,MANMAD,RED,300.0,2590,2200.0,"Hartalika Teej, Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday)",0,0,0,Shukla Tritiya,Swati,25,9,2025,39,28.3,0.2,No,No,Normal conditions
2025-09-26,KALVAN,RED,400.0,2470,1751.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.5,6.2,No,Moderate,Good moisture
2025-09-26,NASIK,POLE,750.0,2750,1850.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,26.6,18.6,No,Moderate,Good moisture
2025-09-26,PIMPALGAON,POLE,400.0,2561,1951.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,27.5,20.7,No,Heavy,Heavy rain expected
2025-09-26,YEOLA,RED,300.0,2323,1750.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.5,6.7,No,Moderate,Good moisture
2025-09-26,NASIK,POLE,900.0,2600,1800.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,26.6,18.6,No,Moderate,Good moisture
2025-09-26,DINDORI(VANI),RED,1500.0,2700,2100.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,27.5,9.8,No,Moderate,Good moisture
2025-09-26,LASALGAON(VINCHUR),RED,900.0,2380,2100.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.1,10.8,No,Moderate,Good moisture
2025-09-26,CHANDVAD,RED,1200.0,2400,1800.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.0,6.3,No,Moderate,Good moisture
2025-09-26,LASALGAON,RED,700.0,2499,2151.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.1,10.8,No,Moderate,Good moisture
2025-09-26,PIMPALGAON BASWANT(SAYKHEDA),RED,400.0,2175,1651.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,27.0,9.4,No,Moderate,Good moisture
2025-09-26,LASALGAON(NIPHAD),RED,821.0,2291,2000.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.1,10.8,No,Moderate,Good moisture
2025-09-26,CHANDVAD,RED,1200.0,2486,1800.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.0,6.3,No,Moderate,Good moisture
2025-09-26,LASALGAON(NIPHAD),RED,700.0,2400,2000.0,"Ganesh Chaturthi / Vinayaka Chaturthi (State Holiday), Rishi Panchami",0,0,0,Shukla Chaturthi,Vishakha,26,9,2025,39,28.1,10.8,No,Moderate,Good moisture
2025-09-27,YEOLA,RED,350.0,2370,1800.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,30.4,23.3,No,Heavy,Heavy rain expected
2025-09-27,UMRANE,RED,900.0,2500,2000.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,29.9,22.1,No,Heavy,Heavy rain expected
2025-09-27,LASALGAON(VINCHUR),RED,1000.0,2400,2051.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,30.6,23.9,No,Heavy,Heavy rain expected
2025-09-27,PIMPALGAON,POLE,500.0,2612,2011.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,30.1,22.6,No,Heavy,Heavy rain expected
2025-09-27,SATANA,RED,850.0,2485,2150.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,28.6,8.7,No,Moderate,Good moisture
2025-09-27,DEVALA,RED,100.0,2505,2100.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,31.4,19.8,No,Moderate,Good moisture
2025-09-27,NASIK,POLE,600.0,2650,1300.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,28.0,12.6,No,Moderate,Good moisture
2025-09-27,NAMPUR,RED,100.0,2575,2000.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,30.7,18.9,No,Moderate,Good moisture
2025-09-27,SINNER,RED,500.0,2300,1900.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,28.3,34.4,No,Heavy,Heavy rain expected
2025-09-27,NANDGAON,RED,100.0,2401,1850.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,31.0,22.3,No,Heavy,Heavy rain expected
2025-09-27,MANMAD,RED,300.0,2316,2000.0,"Rishi Panchami, Lalita Sashti",0,0,0,Shukla Panchami,Anuradha,27,9,2025,39,30.5,22.6,No,Heavy,Heavy rain expected
2025-09-29,LASALGAON,RED,600.0,2540,2160.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,26.4,1.2,No,No,Normal conditions
2025-09-29,DINDORI(VANI),RED,1600.0,2850,2000.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,25.6,2.5,No,No,Normal conditions
2025-09-29,YEOLA,RED,400.0,2271,1850.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,27.0,0.5,No,No,Normal conditions
2025-09-29,PIMPALGAON,POLE,400.0,2553,1975.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,25.9,3.3,No,No,Normal conditions
2025-09-29,SINNER,RED,500.0,2235,1900.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,25.6,1.2,No,No,Normal conditions
2025-09-29,PIMPALGAON BASWANT(SAYKHEDA),RED,400.0,2231,1800.0,Durga Ashtami / Maha Ashtami,0,0,0,Shukla Saptami,Mula,29,9,2025,40,25.1,3.0,No,No,Normal conditions
