Date,Market,Grade,Min Price (Rs./ Qtl),Max Price (Rs./Qtl),Modal Price (Rs./Qtl),Festival,is_amavasya,is_ekadashi,is_purnima,Tithi,Nakshatra,Day,Month,Year,Week,Temp Max (°C),Rain (mm),Heat Stress,Rain Alert,Agro Advisory
2024-02-29,NANDGAON,OTHER,200.0,2490,1950.0,,0,0,0,Krishna Panchami,Chitra,29,2,2024,9,34.9,0.0,No,No,Normal conditions
2024-02-29,MANMAD,OTHER,300.0,2391,2000.0,,0,0,0,Krishna Panchami,Chitra,29,2,2024,9,33.1,0.0,No,No,Normal conditions
2024-02-29,PIMPALGAON,OTHER,950.0,3000,2300.0,,0,0,0,Krishna Panchami,Chitra,29,2,2024,9,33.7,0.0,No,No,Normal conditions
2024-03-01,LASALGAON(VINCHUR),OTHER,700.0,2371,2100.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,35.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,NANDGAON,OTHER,200.0,2411,1750.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,36.1,1.6,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,PIMPALGAON BASWANT(SAYKHEDA),OTHER,700.0,2400,1830.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,33.6,0.4,No,No,Normal conditions
2024-03-01,CHANDVAD,OTHER,500.0,2346,1960.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,33.5,0.3,No,No,Normal conditions
2024-03-01,MANMAD,OTHER,500.0,2224,1950.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.8,0.0,No,No,Normal conditions
2024-03-01,LASALGAON(NIPHAD),OTHER,800.0,2199,2000.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,35.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,SINNER,OTHER,300.0,2180,1900.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.2,0.0,No,No,Normal conditions
2024-03-01,SHIVSIDDHA GOVIND PRODUCER COMPANY LIMITED SANCHAL,LOCAL,1100.0,2765,2100.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,35.0,0.0,No,No,Normal conditions
2024-03-01,LASALGAON,OTHER,700.0,2381,2100.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,35.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,LASALGAON(VINCHUR),OTHER,550.0,2330,2000.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,35.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,NASIK,OTHER,600.0,2250,1850.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.0,0.0,No,No,Normal conditions
2024-03-01,PIMPALGAON,OTHER,900.0,2700,2100.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,33.8,0.0,No,No,Normal conditions
2024-03-01,NANDGAON,OTHER,200.0,2280,1850.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,36.1,1.6,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,CHANDVAD,OTHER,300.0,2411,1880.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,33.5,0.3,No,No,Normal conditions
2024-03-01,YEOLA,OTHER,250.0,2291,1900.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.7,0.7,No,No,Normal conditions
2024-03-01,DEVALA,OTHER,500.0,2300,2000.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,36.2,0.0,Yes,No,Irrigation needed | Heat stress risk
2024-03-01,MANMAD,OTHER,300.0,2108,1920.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.8,0.0,No,No,Normal conditions
2024-03-01,SATANA,OTHER,400.0,2295,1875.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,31.4,0.2,No,No,Normal conditions
2024-03-01,NASIK,OTHER,500.0,2200,1800.0,,0,0,0,Krishna Shashthi,Swati,1,3,2024,9,34.0,0.0,No,No,Normal conditions
2024-03-02,SINNER,OTHER,300.0,2200,1900.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,31.8,0.1,No,No,Normal conditions
2024-03-02,PIMPALGAON,OTHER,850.0,2640,2150.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,31.4,0.0,No,No,Normal conditions
2024-03-02,LASALGAON(VINCHUR),OTHER,500.0,2500,2000.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,33.3,0.0,No,No,Normal conditions
2024-03-02,LASALGAON,OTHER,700.0,2300,2000.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,33.3,0.0,No,No,Normal conditions
2024-03-02,PIMPALGAON BASWANT(SAYKHEDA),OTHER,600.0,2375,1860.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,30.9,0.5,No,No,Normal conditions
2024-03-02,KALVAN,OTHER,500.0,2601,1900.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,31.3,0.1,No,No,Normal conditions
2024-03-02,NANDGAON,OTHER,255.0,2323,1750.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,34.3,0.1,No,No,Normal conditions
2024-03-02,LASALGAON(NIPHAD),OTHER,800.0,2251,2000.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,33.3,0.0,No,No,Normal conditions
2024-03-02,LASALGAON(NIPHAD),OTHER,800.0,2302,2050.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,33.3,0.0,No,No,Normal conditions
2024-03-02,PIMPALGAON,OTHER,900.0,2525,2050.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,31.4,0.0,No,No,Normal conditions
2024-03-02,NASIK,OTHER,500.0,2400,1900.0,,0,0,0,Krishna Shashthi,Vishakha,2,3,2024,9,31.4,0.6,No,No,Normal conditions
